paper,subsection,type,main_content,context,outcome
taurine,Temporal changes in leukaemia niche,Q1.1,"To define temporal changes in non-immune bone marrow micro-
environment populations during myeloid leukaemia progression",which can grow in unirradiated mouse recipients ,"we used bcCML LSCs...(Extended Data Fig. 1a,b). Bone marrow stromal populations
(leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at
distinct stages of disease progression and analysed using scRNA-seq
(Fig. 1a). "
taurine,Temporal changes in leukaemia niche,Q2.4,"Gene-expression-based clustering identified 21 lineage clusters with transitional subsets covering endothelial cells, chondrocytes, fibroblasts, pericytes, mesenchymal stromal cells (MSCs) and osteo-associated populations (Fig. 1b and Extended Data Fig.1c,d) and showed significant remodelling with disease progression (Fig. 1c,d). 
Our flow-cytometry-based analyses of an independent cohort of leukaemic mice validated these changes, showing increases in MSCs, osteolineage and arteriolar endothelial cells, with a concomitant decline in sinusoidal endothelial populations (Fig. 1e,f and Extended Data Fig.1e). Clustering analyses of genes expressed in major lineages identified gene sets with similar changes in expression (Extended Data Fig. 1f),",,suggesting that these may represent altered stromal cell fate
taurine,Temporal changes in leukaemia niche,Q2.4,"Pathway analysis showed that osteoblast differentiation and bone mineralization were downregulated in MSCs and osteo-associated cells, and focal adhesion and cell migration were downregulated in endothelial populations (Fig. 1g and Extended Data Fig. 2a).",,indicating that MSC and endothelial function may be impaired with disease progression 
taurine,Ligand–receptor interactome,Q1.1,"To define the functional relevance of microenvironmental changes on leukaemogenesis, ",,"we focused on proteins expressed on LSC cell surface that act as receptors for niche-driven signals. To identify LSC receptors associated with disease progression, we performed RNA-seq analysis of human AML and bcCML CD34+ cells, and healthy donor bone marrow CD34+ haematopoietic stem and progenitor cells (HSPCs; Extended Data Fig.2b)."
taurine,Ligand–receptor interactome,Q1.1,"To identify signals that are functionally relevant for disease progression, ",,we found cell surface genes19 that drop out by twofold or more in our genome-wide invivo leukaemia CRISPR screen6.
taurine,Ligand–receptor interactome,Q1.1,"This identified 13 cell surface signals common to both bcCML and AML, 18 unique to AML and 7 unique to bcCML. Of these 38 genes, 16 were misannotated as cell surface in the reference dataset19 and were removed from further analysis (Methods and Extended Data Fig. 2c,d). ... to identify ligands for these receptors, ",especially those that were significantly upregulated in our TME scRNA-seq data and in the human AML immune microenvironment20 ,We used NicheNet and the published literature ... (Extended Data Fig. 2e).
taurine,Ligand–receptor interactome,Q1.1,"We next determined whether disease progression could alter the expression of LSC-specific TME ligands,",,Bone marrow stromal populations (leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at distinct stages of disease progression and analysed using scRNA-seq (Fig. 1a).
taurine,TME signals support leukaemogenesis,Q2.4,We therefore generated a unique map of TME ligands for 15 LSC receptors that are essential for disease progression (Fig. 2a). ,,Multiple TME–LSC signalling axes identified in our interactome may have a functional role in leukaemia progression.
taurine,TME signals support leukaemogenesis,Q2.4,"Of the 22 genes upregulated in human LSCs, only low-density lipoprotein receptor (LDLR) and SLC6A6 were significantly associated with poor prognosis in AML (Fig. 2a–c and Extended Data Fig. 4a,b).",,We therefore tested the functional requirement of  TME-derived ligands of LDLR and SLC6A6 on LSC growth.
taurine,TME signals support leukaemogenesis,Q2.4,"One of the primary LDLR ligands, apolipoprotein E (APOE)21, was highly expressed in MSCs (Extended Data Fig.3d). ",,"To test the role of APOE from MSCs on LSC function,"
taurine,TME signals support leukaemogenesis,Q1.1,"To test the role of APOE from MSCs on LSC function,",,we co-cultured bcCML LSCs with MSCs transduced with short hairpin RNAs (shRNAs) targeting Apoe or LacZ (control; Extended Data Fig. 4c).
taurine,TME signals support leukaemogenesis,Q2.4,"Our experiments indicate that Slc6a6 expression can be directly induced by oncogenes (Extended Data Fig. 4g). ... While the leukaemia TME did not express enzymes required for β-alanine synthesis (Gadl1 and Cndp1), those needed for taurine biosynthesis were expressed in osteo-associated cells (Cdo1 and Csad; Extended Data Fig.4h,i).","SLC6A6 encodes TAUT, which has high affinity for the non-essential amino acid taurine, and low affinity for β-alanine (taurine Km = 4.5 μM versus β-alanine Km = 56 μM)22.","To test whether CDO1 is expressed in the human leukaemia TME,"
taurine,TME signals support leukaemogenesis,Q1.1,"To test whether CDO1 is expressed in the human leukaemia TME, ",,we performed an scRNA-seq analysis of CD45− stromal cells from three myelodysplastic syndrome (MDS) and AML bone marrow aspirates.
taurine,TME signals support leukaemogenesis,Q2.4,"While CDO1 protein was expressed in undifferentiated human AML MSCs, its expression increased during invitro mouse and human AML MSC osteogenic differentiation (Extended Data Fig.5a–c).",,"Thus, CDO1 may be broadly expressed in immature MSCs as well as differentiating osteolineage cells in human bone marrow."
taurine,TME signals support leukaemogenesis,Q1.1,"To determine a functional role of taurine from osteolineage cells, ",,we tested the impact of inhibiting taurine biosynthesis in mouse and human leukaemia bone-marrow-derived MSCs on co-cultured leukaemia cells.
