paper,type,subsection,main_content,context,outcome
yeast,Q1.1,"High-quality assemblies of 1,482 genomes","To comprehensively capture species-wide diversity, ... (Fig. 1a)",,"we sequenced 989 natural S. cerevisiae isolates using Oxford Nanopore technology (ONT)19,34 ... We supplemented this with ONT data from 14 beer isolates35 and 24 Taiwanese isolates36, for a total of 1,027 isolates. A hybrid assembly pipeline was utilized to maximize contiguity and completeness (Supplementary Fig. 2 and Methods), ... We also included 71 assemblies from the S. cerevisiae reference assembly panel7, resulting in 1,086 isolates overall."
yeast,Q1.1,Species-wide SV spectrum,... to assess structural heterozygosity in S. cerevisiae.,,we used haplotype-resolved assemblies from 396 heterozygous isolates
yeast,Q2.3,Species-wide SV spectrum,"SVs in subtelomeric regions showed higher heterozygosity (Extended Data Fig.4d), ",consistent with the known structural variability of these regions.,N/A
yeast,Q2.3,Genomic distribution of SVs,"We analysed the genomic distribution of SVs and found it to be highly uneven, with significant enrichment in subtelomeric regions (two-sided Fisher exact test, P = 1.1 × 10−309). Although SNPs and indels are also enriched in these regions, the enrichment is much stronger for SVs (Fig. 2d). By computing structural diversity along the genome, we identified bursts of diversity that are often specific to a single SV type (Fig. 2e) and defined 46 SV hotspots (Supplementary Table5), including 21 translocation hotspots, nearly all in subtelomeric regions. One notable exception is a well-described reciprocal translocation between chromosomes 8 and 16, ... SSU1 gene located near the breakpoint38 (Fig. 2e). Hotspots for PAVs, CNVs and inversions often mapped to TE-rich regions or ... such as FLO39,40, CUP1 ..., and ... such as HPF1, SPA2 and NUM1 .... An inversion hotspot on chromosome 14 overlaps a 24-kb region flanked by inverted repeats, ...","...which confers sulfite resistance through the overexpression of the SSU1 gene located near the breakpoint38...  SV-prone genes, such as FLO39,40 CUP1 (ref.41), ... genes with tandem repeats, ...(refs. 42,43) ... probably driven by recombination44","These findings indicate that SV hotspots arise either from genome fragility, linked to Ty elements or repetitive sequences, or from adaptive pressures targeting specific genes."
yeast,Q1.2,Genomic distribution of SVs,"These findings indicate that SV hotspots arise either from genome fragility, linked to Ty elements or repetitive sequences, or from adaptive pressures targeting specific genes. To distinguish these mechanisms, ",,we examined the distribution of hotspot SVs across species clades with known ecological origins45.
yeast,Q2.4,Genomic distribution of SVs,"Out of the 46 hotspots, 23 were evenly distributed across clades and localized to fragile regions (Supplementary Table 5), whereas the remaining 23 were clade-enriched, ... —for example, SVs associated with sulfite and copper resistance were enriched in wine isolates (Supplementary Table 5).",,reflecting either population bottlenecks or local adaptation
yeast,Q1.1,SV diversity and population structure,"To explore the relationship between population structure and SV diversity,",,we built separate phylogenies using SNP and SV genotypes (Supplementary Fig.3).
yeast,Q2.3,A complete gene-based pangenome,"The pangenome consists of 5,047 core genes shared by all isolates and 3,494 accessory genes with variable presence. Accessory genes were further classified into soft core (1,263 genes present in >90% of isolates), dispensable (2,102 genes in 0.001–90%) and private (129 genes unique to one isolate) categories (Fig. 3a). The high proportion of core and soft core genes (73.9%) indicates moderate gene content variation, ","consistent with a closed pangenome typical of many eukaryotes14,18,25,46–48.",N/A
yeast,Q2.3,A complete gene-based pangenome,"Using previously generated transcriptomic data20, we found that core genes are more highly expressed than accessory genes (Supplementary Fig. 5), ","consistent with findings in other species14,18,49,50.",N/A
yeast,Q1.1,A complete gene-based pangenome,"To investigate the origin of non-reference genes, ",,we aligned novel gene sequences to a curated eukaryotic database (Supplementary Table 8 and Methods).
