title,subsection,type,main_content,context,outcome
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"From the 1,364 whole-genome sequences, we identified 10,929,118 somatic mutations, which include 8,935,132 single nucleotide variants (SNVs), 1,785,446 indels and 208,540 structural variants with a substantial variation in their burden per sample (Extended Data Fig. 1 and Supplementary Figs. 2 and 3 present the full oncogrid plots; interactive exploration of the genomic variants is also possible at https://open.cancervision.com).",(N/A),(N/A)
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"The median tumour mutational burden (TMB) was 4,742 (interquartile range (IQR) 2,392–8,842), with subtype-specific medians as follows: luminal A, 2,182 (IQR 1,628–2,841); luminal B, 4,027 (IQR 2,376–7,392); HER2-enriched, 6,737 (IQR 4,076–14,213); and basal-like, 8,360 (IQR 5,296–11,504).",as previously reported (Ref: 16),"Basal-like tumours had the highest TMB,"
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"By applying the IntOGen pipeline (Ref: 17), we identified 41 breast cancer driver genes (Methods), including 4 novel driver genes","in addition to classical drivers such as TP53, PIK3CA and GATA3 (Ref: 3)",(N/A)
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"For example, BCL11B, which encodes a transcription factor that is involved in chromatic remodelling, gene regulation and mammary stem cell self-renewal (Ref: 18,19), was mutated in 23 patients at much higher frequency than random expectation.",(N/A),(N/A)
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.4,"Similarly, RREB1, which encodes a zinc finger transcription factor that regulates Ras and TGFβ signalling and directly binds the p53 promoter (Ref: 20-22), was truncated in 26 patients,",(N/A),suggesting that its disruption could affect oncogenic pathways.
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.4,(both were mutated in five patients),(Ref: 23) and SPECC1 (Ref: 24),"Our data also suggest that RAF1 (Ref: 23) and SPECC1 (Ref: 24) (both were mutated in five patients) act as tumour suppressors, with potential roles in tumour initiation and progression."
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"Tumours with TP53 mutations frequently exhibited genomic instability (Ref: 25), characterized by higher ploidy and increased homologous recombination DNA repair deficiency (HRD) for double-strand DNA breaks (Extended Data Fig. 3a,b).",(Ref: 25),(N/A)
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"TP53 mutations were positively associated with the level of intratumour genetic heterogeneity (calculated by mutant allele tumour heterogeneity (MATH) scoring with tumour WGS (Ref: 4)), particularly in basal-like subtypes (Extended Data Fig. 3c shows MATH scores associated with different TP53 mutations),",(Ref: 4),indicating more active late-stage mutagenesis and emergence of potent subclones in TP53-mutant tumours.
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.4,"Notably, higher MATH scores were associated with poorer overall survival, particularly in TP53-mutant tumours (hazard ratio 1.66, 95% confidence interval 1.08–2.74; P = 0.048; Extended Data Fig. 3d,e),",(N/A),"suggesting that intratumoural heterogeneity, as measured by MATH score, is associated with clinical outcomes and deserves further investigation as a potential prognostic factor."
"Whole-genome landscapes of 1,364 breast cancers",Mutational landscapes and cancer drivers,Q2.3,"The prognostic effect of the MATH score was further demonstrated in the METABRIC cohort of 1,670 participants (Ref: 26) (Extended Data Fig. 3f and Supplementary Discussion 2).",(Ref: 26),(N/A)
