prompt,paper,type,subsection,main_content,context,outcome
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
We analysed the genomic distribution of SVs and found it to be highly uneven, with significant enrichment in subtelomeric regions (two-sided Fisher exact test, P = 1.1 × 10−309). Although SNPs and indels are also enriched in these regions, the enrichment is much stronger for SVs (Fig. 2d). By computing structural diversity along the genome, we identified bursts of diversity that are often specific to a single SV type (Fig. 2e) and defined 46 SV hotspots (Supplementary Table5), including 21 translocation hotspots, nearly all in subtelomeric regions. One notable exception is a well-described reciprocal translocation between chromosomes 8 and 16, ... SSU1 gene located near the breakpoint38 (Fig. 2e). Hotspots for PAVs, CNVs and inversions often mapped to TE-rich regions or ... such as FLO39,40, CUP1 ..., and ... such as HPF1, SPA2 and NUM1 .... An inversion hotspot on chromosome 14 overlaps a 24-kb region flanked by inverted repeats, ...",yeast,Q2.3,Genomic distribution of SVs,"We analysed the genomic distribution of SVs and found it to be highly uneven, with significant enrichment in subtelomeric regions (two-sided Fisher exact test, P = 1.1 × 10−309). Although SNPs and indels are also enriched in these regions, the enrichment is much stronger for SVs (Fig. 2d). By computing structural diversity along the genome, we identified bursts of diversity that are often specific to a single SV type (Fig. 2e) and defined 46 SV hotspots (Supplementary Table5), including 21 translocation hotspots, nearly all in subtelomeric regions. One notable exception is a well-described reciprocal translocation between chromosomes 8 and 16, ... SSU1 gene located near the breakpoint38 (Fig. 2e). Hotspots for PAVs, CNVs and inversions often mapped to TE-rich regions or ... such as FLO39,40, CUP1 ..., and ... such as HPF1, SPA2 and NUM1 .... An inversion hotspot on chromosome 14 overlaps a 24-kb region flanked by inverted repeats, ...","...which confers sulfite resistance through the overexpression of the SSU1 gene located near the breakpoint38...  SV-prone genes, such as FLO39,40 CUP1 (ref.41), ... genes with tandem repeats, ...(refs. 42,43) ... probably driven by recombination44","These findings indicate that SV hotspots arise either from genome fragility, linked to Ty elements or repetitive sequences, or from adaptive pressures targeting specific genes."
"# TASK: Experimental Design Generation 


## Overview
You are a biologist designing an experiment to address a specific research objective. You will be provided with a specific research question or objective (`main_content`). Your task is to logically construct the ""Inquiry Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Research Goal (`main_content`)**
This is the specific knowledge gap, research question, or objective provided to you.


2. **Generate: Justification (`context`)**
You must generate the scientific background or reasoning that makes the proposed experiment feasible or relevant. This should state a method that a previous study used to address the similar objective, or describe established biological principles, properties of specific model systems, or prior knowledge that serves as the foundation for the chosen method. Please state the general scientific consensus or established biological rule, and include **real, verifiable DOI(s)** that supports the stated context. 


3. **Generate: Methodology (`outcome`)**
You must generate the specific operational step, assay, or technique that creates the data necessary to answer the Research Goal. This should be a concrete action (e.g., ""perform RNA-seq,"" ""use CRISPR-Cas9 to knockout X,"" ""stain X with antibodies against Y"", ""Use cell line X,"") rather than a vague statement. 


## Reasoning Flow
Your generation must follow this logical path:
*Because we want to know [main_content], and considering [context], we will perform [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input goal"",
""context"": ""The scientific justification or background principle used to select the method."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific experimental method or assay performed.""
}
```


**Input (Goal):**
To generate datasets necessary to train a machine learning model to link protein sequence to function (PAM specificity), ",crispr,Q1.1,Scalable characterization of SpCas9 PAM variants,"To generate datasets necessary to train a machine learning model to link protein sequence to function (PAM specificity), ","structure–function-informed approach based on SpCas9 structures10 and previous engineering efforts3,14,42,43 ... These six  amino acids modulate specificity for the 3rd and 4th PAM bases in the context of the engineered enzymes SpCas9-VRER, SpCas9-VRQR and SpG3,14,42 (Supplementary Note3). ... the residue that contacts the second guanine of the SpCas9 PAM10, largely abrogated enzyme activity (Supplementary Note 3) ...","we sought to engineer and characterize a sufficiently large collection of novel SpCas9 enzymes with altered PAM preferences. We generated a saturation mutagenesis library of SpCas9 variant enzymes using a structure–function-informed approach based on SpCas9 structures10 and previous engineering efforts3,14,42,43, simultaneously mutating six amino acid residues within the SpCas9 PI domain,... We selected residues D1135, S1136, G1218, E1219, R1335 and T1337 for saturation mutagenesis, and individual enzymes within the library are hereafter named according to amino acid identities at these six positions. Expansion of our library to also mutate R1333, ... . We therefore focused our efforts on altering the 3rd and 4th positions of the PAM."
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
Interface cells downregulated MITF
and SOX10 and upregulated SOX9 (Fig. 1f and Extended Data Fig. 1g).
Classical melanocyte pigmentation genes were minimally expressed
by interface cells relative to the tumour bulk, including MITF (log2 fold
change (FC) = −5.19), TYRP1 (log2FC = −7.75) and PMEL (log2FC = −8.78)
(Fig. 1f, Extended Data Fig. 1g and Supplementary Table 1)... Unexpect-
edly, interface cells also upregulated genes involved in neuronal
development, including SOX11 (log2FC = 5.15), NNAT (log2FC = 8.61),
NEUROD1 (log2FC = 6.22) and NEFM (log2FC = 6.19) (Fig. 1g and Sup-
plementary Table 1). Gene set enrichment analysis (GSEA) revealed that
transcriptional programs linked to cell fate specification and neuronal
development were highly enriched in interface cells (Fig. 1h,i).",mechanical,Q2.3,Tumour gene expression altered by TME,"Interface cells downregulated MITF
and SOX10 and upregulated SOX9 (Fig. 1f and Extended Data Fig. 1g).
Classical melanocyte pigmentation genes were minimally expressed
by interface cells relative to the tumour bulk, including MITF (log2 fold
change (FC) = −5.19), TYRP1 (log2FC = −7.75) and PMEL (log2FC = −8.78)
(Fig. 1f, Extended Data Fig. 1g and Supplementary Table 1)... Unexpect-
edly, interface cells also upregulated genes involved in neuronal
development, including SOX11 (log2FC = 5.15), NNAT (log2FC = 8.61),
NEUROD1 (log2FC = 6.22) and NEFM (log2FC = 6.19) (Fig. 1g and Sup-
plementary Table 1). Gene set enrichment analysis (GSEA) revealed that
transcriptional programs linked to cell fate specification and neuronal
development were highly enriched in interface cells (Fig. 1h,i).","Melanoma behaviour is regulated by phenotype switching, in which
cells transition between differentiated/proliferative and undifferen-
tiated/invasive states. The transition between the proliferative and
invasive states is regulated by the transcription factors MITF, SOX9
and SOX10, among others8. MITF and SOX10 regulate melanocyte dif-
ferentiation and proliferation9,10, whereas SOX9 is associated with the
undifferentiated invasive state11.","These
data indicate that interface cells adopt an invasive state with markers
of neuronal development."
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
Tumour
cells invading into the TME showed elongated nuclei compared with
the bulk tumour mass (Fig. 1j,k). ",mechanical,Q2.4,Confinement induces a neuronal state,"Tumour
cells invading into the TME showed elongated nuclei compared with
the bulk tumour mass (Fig. 1j,k). ","A previous study showed that tumour
nuclei become highly elongated when squeezing through mechanically
restrictive environments12. Although numerous factors probably influ-
ence tumour invasion, ","we hypothesized that mechanical forces exerted
on the cell/nucleus may cause stable changes in gene expression and
tumour cell behaviour."
"# TASK: Experimental Design Generation 


## Overview
You are a biologist designing an experiment to address a specific research objective. You will be provided with a specific research question or objective (`main_content`). Your task is to logically construct the ""Inquiry Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Research Goal (`main_content`)**
This is the specific knowledge gap, research question, or objective provided to you.


2. **Generate: Justification (`context`)**
You must generate the scientific background or reasoning that makes the proposed experiment feasible or relevant. This should state a method that a previous study used to address the similar objective, or describe established biological principles, properties of specific model systems, or prior knowledge that serves as the foundation for the chosen method. Please state the general scientific consensus or established biological rule, and include **real, verifiable DOI(s)** that supports the stated context. 


3. **Generate: Methodology (`outcome`)**
You must generate the specific operational step, assay, or technique that creates the data necessary to answer the Research Goal. This should be a concrete action (e.g., ""perform RNA-seq,"" ""use CRISPR-Cas9 to knockout X,"" ""stain X with antibodies against Y"", ""Use cell line X,"") rather than a vague statement. 


## Reasoning Flow
Your generation must follow this logical path:
*Because we want to know [main_content], and considering [context], we will perform [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input goal"",
""context"": ""The scientific justification or background principle used to select the method."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific experimental method or assay performed.""
}
```


**Input (Goal):**
we hypothesized that mechanical forces exerted
on the cell/nucleus may cause stable changes in gene expression and
tumour cell behaviour. To test this hypothesis,",mechanical,Q1.1,Confinement induces a neuronal state,"we hypothesized that mechanical forces exerted
on the cell/nucleus may cause stable changes in gene expression and
tumour cell behaviour. To test this hypothesis,","a system to confine human mela-
noma cells (A375 cell line) in vitro at predefined heights (3 µm) using a
polydimethylsiloxane piston and micropatterned coverslips13","we adapted a system to confine human mela-
noma cells (A375 cell line) in vitro at predefined heights (3 µm) using a
polydimethylsiloxane piston and micropatterned coverslips13 (Fig. 1l)."
"# TASK: Validation Question Generation


## Overview
You will act as a biologist critically evaluating a proposed biological mechanism. You are given a hypothesized mechanism (`main_content`). Your task is to generate a **control-oriented research question** by integrating this mechanism with established biological knowledge. You must construct the ""Control Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Biological Mechanism (`main_content`)**
This is the proposed mechanism or hypothesis to be evaluated.


2. **Generate: Established Principle (`context`)**
Provide relevant biological knowledge that introduces **constraints, alternative explanations, or known regulatory mechanisms** related to the hypothesis.
This should highlight **factors that could challenge, refine, or condition the mechanism or disvalue the hypothesis**
Be specific, avoid vague statements. Include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate a **testable research question** that arises from combining the Biological Mechanism with the Established Principle. This question helps to rule out confounding factors, alternative pathways, or indirect effects, or to assess potential **undesired or harmful effects** of a potential therapeutic intervention where relevant. 


## Reasoning Flow
Your generation must follow this logical path:
*We propose that [main_content]. However, since it is known that [context], an important question is: [outcome]*


## Output Format
Return your response in the following JSON format:
```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
These data indicate
that confinement causes interface cells to adopt a neuronal identity. ",mechanical,Q3.1,Confinement remodels the cytoskeleton,"These data indicate
that confinement causes interface cells to adopt a neuronal identity. ","Neuronal development relies on microtubule (MT) architecture,
influencing almost every aspect of neuronal structure and function14.
The cytoskeleton often transmits force within and between cells and
remodels in response to mechanical stimuli15. Recent reports indicate
that the MT cytoskeleton is stabilized by force to protect confined cells
from damage16.","We hypothesized that melanoma cells hijack neuronal
mechanisms to allow them to invade into the mechanically confined
microenvironment."
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
Confinement extensively
remodelled the MT cytoskeleton; within 2–4 h, curved MTs began encir-
cling the cell and nuclear periphery (Fig. 2a,b)...We also observed loss of a central
MT organizing centre with radial MTs,",mechanical,Q2.4,Confinement remodels the cytoskeleton,"Confinement extensively
remodelled the MT cytoskeleton; within 2–4 h, curved MTs began encir-
cling the cell and nuclear periphery (Fig. 2a,b)...We also observed loss of a central
MT organizing centre with radial MTs,","This was reminiscent of a previous study that showed that MTs bend to prevent buckling
or rupture in response to force16...reminiscent of neurons with
centrosome-independent MT organization14,17.","These results indicate
that confined melanoma cells rapidly undergo structural changes in
the MT cytoskeleton resembling neurons."
"# TASK: Experimental Design Generation 


## Overview
You are a biologist designing an experiment to address a specific research objective. You will be provided with a specific research question or objective (`main_content`). Your task is to logically construct the ""Inquiry Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Research Goal (`main_content`)**
This is the specific knowledge gap, research question, or objective provided to you.


2. **Generate: Justification (`context`)**
You must generate the scientific background or reasoning that makes the proposed experiment feasible or relevant. This should state a method that a previous study used to address the similar objective, or describe established biological principles, properties of specific model systems, or prior knowledge that serves as the foundation for the chosen method. Please state the general scientific consensus or established biological rule, and include **real, verifiable DOI(s)** that supports the stated context. 


3. **Generate: Methodology (`outcome`)**
You must generate the specific operational step, assay, or technique that creates the data necessary to answer the Research Goal. This should be a concrete action (e.g., ""perform RNA-seq,"" ""use CRISPR-Cas9 to knockout X,"" ""stain X with antibodies against Y"", ""Use cell line X,"") rather than a vague statement. 


## Reasoning Flow
Your generation must follow this logical path:
*Because we want to know [main_content], and considering [context], we will perform [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input goal"",
""context"": ""The scientific justification or background principle used to select the method."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific experimental method or assay performed.""
}
```


**Input (Goal):**
These results indicate
that confined melanoma cells rapidly undergo structural changes in
the MT cytoskeleton resembling neurons.",mechanical,Q1.1,Confinement remodels the cytoskeleton,"These results indicate
that confined melanoma cells rapidly undergo structural changes in
the MT cytoskeleton resembling neurons.","Acetylated tubulin mediates neuronal architecture and function
and marks axonal MTs18. Tubulin acetylation stabilizes MTs and thus
the cell against mechanical pressure19. Curved MTs, such as those we
observed in confined cells (Fig. 2a,b), are also indicative of long-lived,
stabilized MTs19.","We performed immunofluorescence on sections from
adult fish with transgenic BRAFV600E-driven melanomas ... Confining A375 cells in vitro"
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
We noticed that in confined cells, the hyperacetylated tubulin net-
work was often perinuclear (Fig. 2f,g) ",mechanical,Q2.4,Confinement remodels the cytoskeleton,"We noticed that in confined cells, the hyperacetylated tubulin net-
work was often perinuclear (Fig. 2f,g) ","As the stiffest and
largest organelle, the nucleus is vulnerable to confinement-induced
stress, with confined migration often causing nuclear envelope rup-
ture and DNA damage20,21. During migration through confined spaces,
neurons assemble a perinuclear network of acetylated tubulin to pro-
tect the nucleus22,23. ","and hypothesized that this net-
work may provide structural support to the nucleus."
"# TASK: Scientific Interpretation Generation


## Overview
You will act as a biologist analyzing raw data. You will be provided with a specific empirical observation or statistical result (`main_content`). Your task is to apply scientific theory to this observation to derive a meaningful conclusion. You must construct the ""Discovery Logic"" triplet by generating the missing `context` and `outcome`.


## Logical Components


1. **Input: Empirical Observation (`main_content`)**
This is the specific data point, morphological description, or statistical finding provided to you.


2. **Generate: Established Principle (`context`)**
You must generate the ""lens"" through which this data is interpreted. This should:
- Indicate whether the current findings are consistent or inconsistent with similar studies AND/OR 
- Established biological rule, physical law, known functional association (e.g., ""consistent with study X"", ""It is well established that protein X is a marker for Y,"" or ""Changes in nuclear shape are indicative of Z"" or ""genomic region X is associated with function Y""). 
This provides the theoretical bridge between the raw number/image and its biological meaning. Be specific, avoid vague statements, and include **real, verifiable DOI(s)** that supports the stated context.


3. **Generate: New Insight (`outcome`)**
You must generate the novel mechanism that arises from combining the Observation with the Principle. This represents the generalized mechanism from the observations in context and main_content (e.g., ""Therefore, this suggests the pathway is upregulated,"" or ""This indicates a transition to a mesenchymal state""). 


## Reasoning Flow
Your generation must follow this logical path:
*We observed [main_content]. Since it is known that [context], we conclude that [outcome].*


## Output Format
Return your response in the following JSON format:


```json
{
""main_content"": ""The provided input observation"",
""context"": ""The general biological rule or established theory applied to the data."",
""references"": ""The DOI(s) of specific studies you cited in context."",
""outcome"": ""The specific biological interpretation or conclusion derived.""
}
```


**Input (Observation):**
However, most MTs in confined and
unconfined A375 cells were highly tyrosinated (Extended Data Fig. 4a–d), ...
Although confined perinuclear MTs were occasionally
tyrosinated and rarely detyrosinated (Extended Data Fig. 4a–d), there
was no specific enrichment of these PTMs in the perinuclear network,
as observed for acetylated MTs. Similar results were observed for poly-
glutamylated MTs (Extended Data Fig. 4e,f). No polyglycylated MTs
were found in either condition (Extended Data Fig. 4g,h).",mechanical,Q2.3,Confinement remodels the cytoskeleton,"However, most MTs in confined and
unconfined A375 cells were highly tyrosinated (Extended Data Fig. 4a–d), ...
Although confined perinuclear MTs were occasionally
tyrosinated and rarely detyrosinated (Extended Data Fig. 4a–d), there
was no specific enrichment of these PTMs in the perinuclear network,
as observed for acetylated MTs. Similar results were observed for poly-
glutamylated MTs (Extended Data Fig. 4e,f). No polyglycylated MTs
were found in either condition (Extended Data Fig. 4g,h).","Detyrosination
has been linked to stabilized MTs26 ... probably owing to the high concentrations of tyrosine and tyrosinase in melanoma27","This indicates
that acetylation is the primary PTM mediating the assembly and/or
stability of the perinuclear tubulin network."
