main_content,context,outcome
"Our experiments showed that TAUT loss markedly delays the initiation of MLL-driven AML relative to the control (6.1-fold higher likelihood of survival; Fig. 3i–k). Slc6a6−/− KIT+ AML LSCs from established disease formed 2.9-fold fewer colonies compared with the controls (Fig. 3l), ... Consistent with a key role of TAUT expression in myeloid leukaemia initiation, TAUT loss in disease driven by AML-ETO9a resulted in a marked increase in survival (70%) relative to the controls (0%) (36.3-fold higher likelihood of survival; Fig. 3m,n). At the cellular level, TAUT loss led to a 2.4- to 3.6-fold reduction in primitive Lin−CD150−FLT3+SCA1+ LSCs6 (Fig. 3o). Furthermore, TAUT loss increased necrosis and theLin+ differentiated cells (Fig. 3p and Extended Data Fig. 6h) and promoted cell proliferation (Fig. 3q). ","It is well established in biology that observations like our experiments showed that taut loss markedly delays the initiation of mll-driven aml relative to the control (6.1-fold higher likelihood of survival; fig. 3i–k). slc6a6−/− kit+ aml lscs from established disease formed 2.9-fold fewer colonies compared with the controls (fig. 3l), ... consistent with a key role of taut expression in myeloid leukaemia initiation, taut loss in disease driven by aml-eto9a resulted in a marked increase in survival (70%) relative to the controls (0%) (36.3-fold higher likelihood of survival; fig. 3m,n). at the cellular level, taut loss led to a 2.4- to 3.6-fold reduction in primitive lin−cd150−flt3+sca1+ lscs6 (fig. 3o). furthermore, taut loss increased necrosis and thelin+ differentiated cells (fig. 3p and extended data fig. 6h) and promoted cell proliferation (fig. 3q).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our experiments showed that taut loss markedly delays the initiation of mll-driven aml relative to the control (6.1-fold higher likelihood of survival; fig. 3i–k). slc6a6−/− kit+ aml lscs from established disease formed 2.9-fold fewer colonies compared with the controls (fig. 3l), ... consistent with a key role of taut expression in myeloid leukaemia initiation, taut loss in disease driven by aml-eto9a resulted in a marked increase in survival (70%) relative to the controls (0%) (36.3-fold higher likelihood of survival; fig. 3m,n). at the cellular level, taut loss led to a 2.4- to 3.6-fold reduction in primitive lin−cd150−flt3+sca1+ lscs6 (fig. 3o). furthermore, taut loss increased necrosis and thelin+ differentiated cells (fig. 3p and extended data fig. 6h) and promoted cell proliferation (fig. 3q). , indicating a potential underlying mechanism or state transition."
We next tested the impact of TAUT loss on normal haematopoiesis.,Established biological and experimental principles relevant to we next tested the impact of taut loss on normal haematopoiesis. suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.,"Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test we next tested the impact of taut loss on normal haematopoiesis.."
"Our analysis indicates that TAUT loss does not severely impact bone marrow cellularity, or the total numbers of HSCs, progenitors and differentiated cells at steady-state (Extended Data Fig. 7a–e). While TAUT loss did not impair initial HSC engraftment (1 month after transplant), donor chimerism dropped over time (Extended Data Fig.7f,g). Although overall bone marrow chimerism 4 months after transplant was 2.4-fold lower in Slc6a6−/− HSC recipients as compared to Slc6a6+/+ HSC recipients, these Slc6a6−/− HSCs were able to contribute to all haematopoietic lineages (Extended Data Fig.7h–k). Serial transplantation of Slc6a6+/+ and Slc6a6−/− bone marrow cells showed a similar loss in Slc6a6−/− engraftment over time (Extended Data Fig.7l–q). ","It is well established in biology that observations like our analysis indicates that taut loss does not severely impact bone marrow cellularity, or the total numbers of hscs, progenitors and differentiated cells at steady-state (extended data fig. 7a–e). while taut loss did not impair initial hsc engraftment (1 month after transplant), donor chimerism dropped over time (extended data fig.7f,g). although overall bone marrow chimerism 4 months after transplant was 2.4-fold lower in slc6a6−/− hsc recipients as compared to slc6a6+/+ hsc recipients, these slc6a6−/− hscs were able to contribute to all haematopoietic lineages (extended data fig.7h–k). serial transplantation of slc6a6+/+ and slc6a6−/− bone marrow cells showed a similar loss in slc6a6−/− engraftment over time (extended data fig.7l–q).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our analysis indicates that taut loss does not severely impact bone marrow cellularity, or the total numbers of hscs, progenitors and differentiated cells at steady-state (extended data fig. 7a–e). while taut loss did not impair initial hsc engraftment (1 month after transplant), donor chimerism dropped over time (extended data fig.7f,g). although overall bone marrow chimerism 4 months after transplant was 2.4-fold lower in slc6a6−/− hsc recipients as compared to slc6a6+/+ hsc recipients, these slc6a6−/− hscs were able to contribute to all haematopoietic lineages (extended data fig.7h–k). serial transplantation of slc6a6+/+ and slc6a6−/− bone marrow cells showed a similar loss in slc6a6−/− engraftment over time (extended data fig.7l–q). , indicating a potential underlying mechanism or state transition."
"These results suggest that, while TAUT loss does not impair steady-state haematopoiesis, it can impact long-term HSC self-renewal and maintenance.","It is well established in biology that observations like these results suggest that, while taut loss does not impair steady-state haematopoiesis, it can impact long-term hsc self-renewal and maintenance. can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to these results suggest that, while taut loss does not impair steady-state haematopoiesis, it can impact long-term hsc self-renewal and maintenance., indicating a potential underlying mechanism or state transition."
It is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for TAUT targeting in human cells.,It is well established in biology that observations like it is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for taut targeting in human cells. can be interpreted using known molecular or cellular mechanisms and established scientific principles.,"This suggests a biologically meaningful change or implication related to it is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for taut targeting in human cells., indicating a potential underlying mechanism or state transition."
"Our analyses of available gene expression datasets indicate that SLC6A6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (Extended Data Fig. 8a). While SLC6A6 is broadly expressed in AML irrespective of karyotype or FAB subtype (TCGA; Extended Data Fig.8b), increased expression correlates with venetoclax resistance (BEAT-AML; Fig. 4a). SLC6A6 expression is also enriched in reactive oxygen species (ROS)-low LSCs from human monocytic AMLs (subtype clinically associated with venetoclax resistance; CD45bright SSChighCD117−CD11b+CD68+) compared with primitive AML (Fig. 4b; CD45medSSClowCD117+CD11b−CD68−)32. We find increased SLC6A6 expression in leukaemia cells carrying RAS mutations as compared to wild-type cells, ... (Fig. 4c). SLC6A6 is also highly expressed in relapsed AML originating from stem/progenitor like cells compared with more committed populations34 (Extended Data Fig. 8c). ","It is well established in biology that observations like our analyses of available gene expression datasets indicate that slc6a6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (extended data fig. 8a). while slc6a6 is broadly expressed in aml irrespective of karyotype or fab subtype (tcga; extended data fig.8b), increased expression correlates with venetoclax resistance (beat-aml; fig. 4a). slc6a6 expression is also enriched in reactive oxygen species (ros)-low lscs from human monocytic amls (subtype clinically associated with venetoclax resistance; cd45bright sschighcd117−cd11b+cd68+) compared with primitive aml (fig. 4b; cd45medssclowcd117+cd11b−cd68−)32. we find increased slc6a6 expression in leukaemia cells carrying ras mutations as compared to wild-type cells, ... (fig. 4c). slc6a6 is also highly expressed in relapsed aml originating from stem/progenitor like cells compared with more committed populations34 (extended data fig. 8c).  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to our analyses of available gene expression datasets indicate that slc6a6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (extended data fig. 8a). while slc6a6 is broadly expressed in aml irrespective of karyotype or fab subtype (tcga; extended data fig.8b), increased expression correlates with venetoclax resistance (beat-aml; fig. 4a). slc6a6 expression is also enriched in reactive oxygen species (ros)-low lscs from human monocytic amls (subtype clinically associated with venetoclax resistance; cd45bright sschighcd117−cd11b+cd68+) compared with primitive aml (fig. 4b; cd45medssclowcd117+cd11b−cd68−)32. we find increased slc6a6 expression in leukaemia cells carrying ras mutations as compared to wild-type cells, ... (fig. 4c). slc6a6 is also highly expressed in relapsed aml originating from stem/progenitor like cells compared with more committed populations34 (extended data fig. 8c). , indicating a potential underlying mechanism or state transition."
"To determine whether small-molecule inhibitors of TAUT can effectively block leukaemia growth,","Established biological and experimental principles relevant to to determine whether small-molecule inhibitors of taut can effectively block leukaemia growth, suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.","Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test to determine whether small-molecule inhibitors of taut can effectively block leukaemia growth,."
"TAG and GES treatment led to a substantial reduction in colonies formed by Slc6a6+/+ mouse LSCs but not Slc6a6−/− cells (Extended Data Fig.8f–h). Importantly, while TAG and GES impaired growth of primary human AML cells in colony assays by 1.8- to 20-fold, they did not impact normal human CD34+ HSPC colony growth (Fig. 4d,e). ... Our experiments showed that venetoclax reduced the viability of mouse Slc6a6−/− LSCs by 3.2-fold and lowered their colony formation by 13.2-fold as compared to the controls (Extended Data Fig.8i,j). While TAG, GES or venetoclax alone could impair mouse LSC colony formation by 1.4- to 3.9-fold, their combination was synergistic and led to 2.3- to 7.2-fold fewer colonies as compared to the controls (Extended Data Fig.8k–m). While primary human AML cells that were treated with GES, TAG or venetoclax alone formed 1.3- to 8.3-fold fewer colonies as compared to the controls, combining the treatments substantially impaired colony formation by 2.4- to 150-fold. ","It is well established in biology that observations like tag and ges treatment led to a substantial reduction in colonies formed by slc6a6+/+ mouse lscs but not slc6a6−/− cells (extended data fig.8f–h). importantly, while tag and ges impaired growth of primary human aml cells in colony assays by 1.8- to 20-fold, they did not impact normal human cd34+ hspc colony growth (fig. 4d,e). ... our experiments showed that venetoclax reduced the viability of mouse slc6a6−/− lscs by 3.2-fold and lowered their colony formation by 13.2-fold as compared to the controls (extended data fig.8i,j). while tag, ges or venetoclax alone could impair mouse lsc colony formation by 1.4- to 3.9-fold, their combination was synergistic and led to 2.3- to 7.2-fold fewer colonies as compared to the controls (extended data fig.8k–m). while primary human aml cells that were treated with ges, tag or venetoclax alone formed 1.3- to 8.3-fold fewer colonies as compared to the controls, combining the treatments substantially impaired colony formation by 2.4- to 150-fold.  can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to tag and ges treatment led to a substantial reduction in colonies formed by slc6a6+/+ mouse lscs but not slc6a6−/− cells (extended data fig.8f–h). importantly, while tag and ges impaired growth of primary human aml cells in colony assays by 1.8- to 20-fold, they did not impact normal human cd34+ hspc colony growth (fig. 4d,e). ... our experiments showed that venetoclax reduced the viability of mouse slc6a6−/− lscs by 3.2-fold and lowered their colony formation by 13.2-fold as compared to the controls (extended data fig.8i,j). while tag, ges or venetoclax alone could impair mouse lsc colony formation by 1.4- to 3.9-fold, their combination was synergistic and led to 2.3- to 7.2-fold fewer colonies as compared to the controls (extended data fig.8k–m). while primary human aml cells that were treated with ges, tag or venetoclax alone formed 1.3- to 8.3-fold fewer colonies as compared to the controls, combining the treatments substantially impaired colony formation by 2.4- to 150-fold. , indicating a potential underlying mechanism or state transition."
We next tested whether venetoclax can exacerbate the impact of TAUT loss and/or inhibition on LSC function.,Established biological and experimental principles relevant to we next tested whether venetoclax can exacerbate the impact of taut loss and/or inhibition on lsc function. suggest that appropriate model systems and molecular assays can be used to investigate the mechanism or hypothesis.,"Perform a targeted experimental assay such as gene expression analysis, perturbation (e.g., CRISPR or RNAi), or imaging to directly test we next tested whether venetoclax can exacerbate the impact of taut loss and/or inhibition on lsc function.."
"As TAG and GES did not effectively block taurine uptake in vivo (Extended Data Fig.9a–j),","It is well established in biology that observations like as tag and ges did not effectively block taurine uptake in vivo (extended data fig.9a–j), can be interpreted using known molecular or cellular mechanisms and established scientific principles.","This suggests a biologically meaningful change or implication related to as tag and ges did not effectively block taurine uptake in vivo (extended data fig.9a–j),, indicating a potential underlying mechanism or state transition."
