title,subsection,type,main_content,context,outcome
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q1,To study the influence of the local microenvironment on tumour invasion,"Tumours from this model frequently invade into adjacent tissues, including the underlying dermis and muscle.",we applied spatially resolved transcriptomics and single-cell RNA sequencing (scRNA-seq) to a transgenic zebrafish model of BRAFV600E-driven melanoma (Fig. 1a).
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q2,"Across fish, we found a conserved ‘interface’ transcriptional cell state that occurs where tumour cells invade into the microenvironment(Ref: 6) (12.1% of zebrafish tumour cells; Fig. 1a).",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q1,To investigate whether these interface cells occur in patients,"a recently published human melanoma scRNA-seq dataset of 7,186 tumour and stromal cells from 31 patients with untreated or immunotherapy-resistant melanoma(Ref: 7)","we analysed a recently published human melanoma scRNA-seq dataset of 7,186 tumour and stromal cells from 31 patients with untreated or immunotherapy-resistant melanoma(Ref: 7) (Fig. 1b and Extended Data Fig. 1a). We scored tumour cells for the relative expression of interface genes from our zebrafish transcriptomic datasets."
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q2,"Similar to our previous observations(Ref: 6), a subpopulation of human tumour cells highly upregulated interface markers (12.3% of tumour cells; Fig. 1c and Extended Data Fig. 1b), mostly from immunotherapy-resistant patients (Extended Data Fig. 1d–f).",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q1,To better understand the nature of these cells,"A previous study defined at least four cell states that encompass the melanoma differentiation trajectory (melanocytic, transitory, neural crest-like and undifferentiated)(Ref: 2).",we compared our interface population to human melanoma cell states. [...] We scored tumour and interface cells for the relative expression of gene modules encompassing the entire melanoma cell differentiation trajectory and classified cells into each of the four states on the basis of their expression of gene modules annotated for that state(Ref: 2).
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q2,"Although tumour cells were relatively evenly distributed between the four cell states, interface cells showed clear upregulation of genes characteristic of the undifferentiated state (Fig. 1d,e and Extended Data Fig. 1c).",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Tumour gene expression altered by TME,Q2,"Interface cells downregulated MITF and SOX10 and upregulated SOX9 (Fig. 1f and Extended Data Fig. 1g). Classical melanocyte pigmentation genes were minimally expressed by interface cells relative to the tumour bulk, including MITF (log2 fold change (FC) = −5.19), TYRP1 (log2FC = −7.75) and PMEL (log2FC = −8.78) (Fig. 1f, Extended Data Fig. 1g and Supplementary Table 1). Unexpectedly, interface cells also upregulated genes involved in neuronal development, including SOX11 (log2FC = 5.15), NNAT (log2FC = 8.61), NEUROD1 (log2FC = 6.22) and NEFM (log2FC = 6.19) (Fig. 1g and Supplementary Table 1). Gene set enrichment analysis (GSEA) revealed that transcriptional programs linked to cell fate specification and neuronal development were highly enriched in interface cells (Fig. 1h,i).","Melanoma behaviour is regulated by phenotype switching, in which cells transition between differentiated/proliferative and undifferentiated/invasive states. The transition between the proliferative and invasive states is regulated by the transcription factors MITF, SOX9 and SOX10, among others(Ref: 8). MITF and SOX10 regulate melanocyte differentiation and proliferation(Ref: 9,10), whereas SOX9 is associated with the undifferentiated invasive state(Ref: 11).",These data indicate that interface cells adopt an invasive state with markers of neuronal development.
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q1,To examine factors within the local TME that may drive the interface state,(missing),"we performed histology on tissue sections from our transgenic zebrafish melanoma model, focusing on the invasive front."
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q2,"Tumour cells invading into the TME showed elongated nuclei compared with the bulk tumour mass (Fig. 1j,k).",A previous study showed that tumour nuclei become highly elongated when squeezing through mechanically restrictive environments(Ref: 12).,we hypothesized that mechanical forces exerted on the cell/nucleus may cause stable changes in gene expression and tumour cell behaviour.
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q1,To test this hypothesis,(missing),we adapted a system to confine human melanoma cells (A375 cell line) in vitro at predefined heights (3 µm) using a polydimethylsiloxane piston and micropatterned coverslips(Ref: 13) (Fig. 1l).
