title,subsection,type,main_content,context,outcome
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q1,To define temporal changes in non-immune bone marrow microenvironment populations during myeloid leukaemia progression,(missing),"we used bcCML LSCs, which can grow in unirradiated mouse recipients (Extended Data Fig. 1a,b)"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q1,(missing),(missing),Bone marrow stromal populations (leukaemia−CD45−TER119−) were isolated from leukaemic cohorts at distinct stages of disease progression and analysed using scRNA-seq (Fig. 1a)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q2,"Gene-expression-based clustering identified 21 lineage clusters with transitional subsets covering endothelial cells, chondrocytes, fibroblasts, pericytes, mesenchymal stromal cells (MSCs) and osteo-associated populations (Fig. 1b and Extended Data Fig. 1c,d) and showed significant remodelling with disease progression (Fig. 1c,d)",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q2,"Our flow-cytometry-based analyses of an independent cohort of leukaemic mice validated these changes, showing increases in MSCs, osteolineage and arteriolar endothelial cells, with a concomitant decline in sinusoidal endothelial populations (Fig. 1e,f and Extended Data Fig. 1e)",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q2,Clustering analyses of genes expressed in major lineages identified gene sets with similar changes in expression (Extended Data Fig. 1f),(missing),suggesting that these may represent altered stromal cell fate
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q2,"Pathway analysis showed that osteoblast differentiation and bone mineralization were downregulated in MSCs and osteo-associated cells, and focal adhesion and cell migration were downregulated in endothelial populations",(missing),indicating that MSC and endothelial function may be impaired with disease progression (Fig. 1g and Extended Data Fig. 2a)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Temporal changes in leukaemia niche,Q2,"Collectively, our temporal analysis of the TME identifies dynamic changes in gene expression of stromal subpopulations during leukaemia progression",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Ligand–receptor interactome,Q1,To define the functional relevance of microenvironmental changes on leukaemogenesis,(missing),we focused on proteins expressed on LSC cell surface that act as receptors for niche-driven signals
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Ligand–receptor interactome,Q1,To identify LSC receptors associated with disease progression,(missing),"we performed RNA-seq analysis of human AML and bcCML CD34+ cells, and healthy donor bone marrow CD34+ haematopoietic stem and progenitor cells (HSPCs; Extended Data Fig. 2b)"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Ligand–receptor interactome,Q2,"We noted significant (adjusted P (Padj) < 0.05) upregulation of 1,569 genes in bcCML, 2,842 genes in AML and 2,331 genes in both bcCML and AML compared with normal HSPCs",(missing),(missing)
