"main_content","gpt_references","gpt_context","gpt_outcome"
"We analysed the genomic distribution of SVs and found it to be highly uneven, with significant enrichment in subtelomeric regions (two-sided Fisher exact test, P = 1.1 × 10−309). Although SNPs and indels are also enriched in these regions, the enrichment is much stronger for SVs. By computing structural diversity along the genome, we identified bursts of diversity that are often specific to a single SV type and defined 46 SV hotspots, including 21 translocation hotspots, nearly all in subtelomeric regions. Hotspots for PAVs, CNVs and inversions often mapped to TE-rich regions or gene families such as FLO, CUP1, HPF1, SPA2 and NUM1, and an inversion hotspot overlaps a region flanked by inverted repeats.","10.1038/nrg2468; 10.1126/science.1150395; 10.1371/journal.pgen.1000742","It is well established that subtelomeric regions are highly dynamic genomic compartments enriched for repetitive elements, transposable elements (TEs), and gene families involved in environmental adaptation, which promote structural variation through mechanisms such as non-allelic homologous recombination and break-induced replication. These regions exhibit elevated rates of duplications, deletions, and rearrangements compared to the genome core. Additionally, inverted repeats and TE-rich sequences are known to facilitate inversions and translocations by providing homologous substrates for recombination. Studies in yeast and other eukaryotes have consistently shown that SV hotspots frequently coincide with such repetitive architectures and adaptive gene clusters (e.g., FLO and CUP1 families).","The pronounced enrichment of SVs and SV hotspots in subtelomeric and repeat-rich regions suggests that local genome architecture actively drives structural diversification, leading to rapid and lineage-specific genome evolution. This indicates that SVs in these regions likely serve as a major source of adaptive variation, disproportionately contributing to phenotypic diversity by modulating copy number and arrangement of environmentally responsive genes."
"To generate datasets necessary to train a machine learning model to link protein sequence to function (PAM specificity),","10.1126/science.aao0027; 10.1038/nbt.3437; 10.1038/s41587-019-0197-4","High-throughput mutagenesis combined with functional screening is an established strategy to map sequence–function relationships in proteins. Deep mutational scanning allows systematic variation of amino acids followed by selection and sequencing to quantify functional outputs across thousands of variants. This approach has been successfully applied to CRISPR–Cas systems to profile PAM preferences and activity landscapes, generating large datasets suitable for machine learning applications. For example, saturation mutagenesis and PAM determination assays have been used to characterize Cas9 variants and their PAM compatibilities, providing quantitative mappings between sequence variation and DNA recognition. Such datasets are essential for training predictive models that infer protein function from sequence.","Construct a comprehensive library of SpCas9 PAM-interacting domain variants via saturation mutagenesis, express these variants in a bacterial or mammalian selection system coupled to a PAM reporter assay, and use high-throughput sequencing to quantify PAM preferences and editing activity for each variant to generate a large-scale sequence–function dataset."
"Interface cells downregulated MITF and SOX10 and upregulated SOX9. Classical melanocyte pigmentation genes were minimally expressed by interface cells relative to the tumour bulk, including MITF (log2 fold change (FC) = −5.19), TYRP1 (log2FC = −7.75) and PMEL (log2FC = −8.78). Unexpectedly, interface cells also upregulated genes involved in neuronal development, including SOX11 (log2FC = 5.15), NNAT (log2FC = 8.61), NEUROD1 (log2FC = 6.22) and NEFM (log2FC = 6.19). Gene set enrichment analysis (GSEA) revealed that transcriptional programs linked to cell fate specification and neuronal development were highly enriched in interface cells.","10.1016/j.cell.2018.02.034; 10.1038/nm.3397","It is well established that MITF and SOX10 are master regulators of melanocyte lineage identity and differentiation, and their downregulation is a hallmark of phenotype switching in melanoma toward a dedifferentiated, invasive state. Conversely, SOX9 and neural crest/neuronal lineage genes (such as SOX11 and NEUROD1) are associated with neural crest stem-like or mesenchymal-like programs, reflecting increased plasticity and invasiveness. This phenotype switching has been widely documented as a reversible transcriptional reprogramming process in melanoma linked to microenvironmental cues. (DOI: 10.1016/j.cell.2018.02.034; DOI: 10.1038/nm.3397)","Therefore, this suggests that interface cells have undergone a transcriptional reprogramming from a differentiated melanocytic state to a dedifferentiated, neural crest-like invasive phenotype, characterized by increased cellular plasticity and potential for migration and therapy resistance."
"Tumour cells invading into the TME showed elongated nuclei compared with the bulk tumour mass (Fig. 1j,k).","10.1016/j.cell.2013.01.010; 10.1038/nrm.2016.152","It is well established that nuclear deformation and elongation are hallmarks of cells experiencing mechanical confinement and migrating through dense extracellular matrices; such changes are associated with cytoskeletal remodeling and chromatin reorganization that facilitate invasive behavior. Studies have shown that elongated nuclei correlate with increased cell invasiveness and mechanotransduction signaling (e.g., via the LINC complex and actomyosin contractility), consistent with prior observations in confined cell migration and cancer invasion models.","Therefore, this suggests that melanoma cells invading the tumour microenvironment are undergoing mechanically induced nuclear remodeling, which likely contributes to chromatin reorganization and promotes a transition toward an invasive, migratory phenotype."
"we hypothesized that mechanical forces exerted on the cell/nucleus may cause stable changes in gene expression and tumour cell behaviour. To test this hypothesis,","10.1038/nature14511; 10.1126/science.aad8227; 10.1016/j.cell.2017.10.026","It is well established that mechanical forces from the microenvironment can influence nuclear architecture and gene expression through mechanotransduction pathways. For example, physical deformation of the nucleus has been shown to alter chromatin organization and accessibility, leading to persistent transcriptional changes. Studies using confined migration assays and engineered substrates have demonstrated that mechanical stress can induce epigenetic remodeling and stable phenotypic transitions in cancer cells. Additionally, prior work has shown that substrate stiffness and confinement can regulate YAP/TAZ signaling and chromatin state, linking physical cues to long-term cellular behavior. These findings support the concept that mechanical inputs can drive durable changes in gene expression programs in tumour cells.","culture melanoma cells in microfabricated confinement devices or dense extracellular matrix gels to impose controlled mechanical compression, followed by ATAC-seq and RNA-seq to assess changes in chromatin accessibility and gene expression, and validate phenotypic switching using invasion assays and immunostaining for proliferative versus invasive markers"
"These data indicate that confinement causes interface cells to adopt a neuronal identity.","10.1038/ncb1873; 10.1016/j.cell.2011.05.044; 10.1038/s41563-019-0367-9","Mechanical cues from the microenvironment, such as stiffness and spatial confinement, are known to regulate cell fate decisions through mechanotransduction pathways involving YAP/TAZ signaling and chromatin remodeling. For example, physical constraints can induce lineage specification, including neuronal differentiation, by altering nuclear architecture and epigenetic states (e.g., through lamina-associated domains and histone modifications). Studies have shown that reduced cytoskeletal tension and confined environments promote neurogenic programs via suppression of YAP/TAZ and activation of neuronal transcription factors.","Given that confinement alters mechanical signaling and chromatin accessibility, and since such conditions are known to favor neurogenic differentiation through mechanosensitive transcriptional regulation, we conclude that spatial confinement drives interface cells to undergo epigenetic reprogramming toward a neuronal-like identity via YAP/TAZ suppression and activation of neuronal gene expression programs."
"Confinement extensively remodelled the MT cytoskeleton; within 2–4 h, curved MTs began encircling the cell and nuclear periphery...We also observed loss of a central MT organizing centre with radial MTs.","10.1038/ncb3461; 10.1016/j.devcel.2016.09.012","It is well established that mechanical confinement and altered cell geometry can reorganize the microtubule (MT) cytoskeleton, leading to loss of a centralized microtubule-organizing center (MTOC) and the formation of non-radial, cortical MT arrays. Such reorganization is associated with increased cell polarity, nuclear deformation, and invasive migration programs. Studies have shown that confined environments promote perinuclear MT stabilization and redistribution, facilitating force transmission to the nucleus and driving phenotypic transitions linked to motility and invasion.","Therefore, this observation suggests that mechanical confinement induces a reprogramming of the cytoskeletal architecture toward a non-centrosomal, perinuclear MT organization, which likely enhances nuclear mechanotransduction and promotes a transition of melanoma cells into a more polarized and invasive phenotype."
"These results indicate that confined melanoma cells rapidly undergo structural changes in the MT cytoskeleton resembling neurons.","10.1038/nrm2595; 10.1038/ncb3628; 10.1016/j.devcel.2013.01.020","Microtubule (MT) cytoskeletal remodeling is a well-established driver of cell morphology and plasticity, particularly in processes such as neurite outgrowth where MT stabilization and reorganization generate elongated, polarized structures. Cancer cells, including melanoma, have been shown to repurpose cytoskeletal programs to adopt invasive phenotypes, and mechanical cues from the microenvironment can directly regulate cytoskeletal dynamics through mechanotransduction pathways (e.g., Rho GTPases, YAP/TAZ signaling). Previous studies demonstrate that physical confinement can induce nuclear deformation and cytoskeletal rearrangement, promoting invasive behavior and phenotypic switching. Additionally, parallels between neuronal differentiation and cancer cell plasticity have been observed, where MT-associated proteins such as MAP2 or Tau become upregulated in structurally remodeled cells. These findings suggest that confinement-induced MT reorganization in melanoma may mimic neuronal-like architecture, which can be quantitatively assessed using high-resolution imaging and molecular markers of MT stabilization. This rationale supports the use of imaging-based cytoskeletal analysis in confined cell systems such as microfluidic devices or 3D matrices. ","Culture melanoma cells in microfabricated confinement chambers or 3D collagen matrices of defined stiffness, then perform immunofluorescence staining for microtubule markers (e.g., α-tubulin, acetylated tubulin, MAP2) followed by confocal microscopy to assess structural MT reorganization and quantify neuron-like morphological features."
"We noticed that in confined cells, the hyperacetylated tubulin network was often perinuclear (Fig. 2f,g).","10.1038/nrm.2017.60; 10.1038/s41580-019-0166-3","It is well established that acetylation of α-tubulin stabilizes microtubules and promotes their resistance to mechanical stress, often leading to reorganization of the cytoskeleton around the nucleus under confined or high-strain conditions. Perinuclear microtubule accumulation has been linked to nuclear positioning, mechanotransduction, and protection of nuclear integrity during migration through tight spaces (e.g., Janke & Montagnac, 2017; Burute & Kapitein, 2019). Such cytoskeletal rearrangements are associated with invasive cell behavior and adaptation to physical constraints. doi:10.1038/nrm.2017.60; doi:10.1038/s41580-019-0166-3","Therefore, this suggests that mechanical confinement induces stabilization and spatial reorganization of microtubules around the nucleus, facilitating nuclear protection and mechanotransductive signaling that supports a transition toward an invasive, mechanically adapted melanoma cell state."
"However, most MTs in confined and unconfined A375 cells were highly tyrosinated... there was no specific enrichment of these PTMs in the perinuclear network, as observed for acetylated MTs. Similar results were observed for polyglutamylated MTs... No polyglycylated MTs were found in either condition.","10.1038/s41580-020-0213-3; 10.1083/jcb.105.1.265","It is well established that α-tubulin tyrosination is associated with dynamic, newly polymerized microtubules, whereas detyrosination and acetylation mark more stable, long-lived microtubule populations. Acetylated microtubules, in particular, are enriched in mechanically stressed or confined cellular regions and correlate with increased microtubule stability and resistance to deformation, while polyglutamylation can modulate motor protein interactions but is not necessarily linked to mechanical stabilization. (Janke & Magiera, 2020, DOI: 10.1038/s41580-020-0213-3; Webster et al., 1987, DOI: 10.1083/jcb.105.1.265).","The lack of enrichment of tyrosinated, detyrosinated, or polyglutamylated microtubules in the perinuclear region suggests that these post-translational modifications do not drive the mechanical adaptation of microtubules under confinement; instead, the selective enrichment of acetylated microtubules indicates that mechanical confinement specifically promotes the stabilization of a distinct microtubule subset to support nuclear-associated structural resilience."
